teks;;;label
rt mending lihat kuntilanak apa pocong gunderuwo kalian tiga nya muncul ada depan daripada lihat cewek pakai hijab pakai kacama;;;0
 pocong memang cuma dia saja di platform ini liff cmon ;;;-1
 masak pocong takut sama sambosa segitiga;;;-1
lagi mikir pocong makan apa ;;;0
 enggak berani tonton yang dua sih satu saja sudah begitu jir ingat banget yang pocong geret lihat cewek pakai hijab pakai kacama;;;1
kakak farel stop bikin thread aneka ragam pocong;;;0
 yang jadi pocong eh enggak tau deng;;;0
 pocong saja hapenya ipon eks;;;0
 pocong;;;0
 masa gatauayah pergi ibu pergi aku sendiri ada tali kugantung diri tali putus gigit tikus tikus ;;;0
gambar loh loh badan jin mulai jadi kotak cara gambar ini bentuk jin mana ya tolong ;;;-1
 ya kenapa bisa pocong tinker l kayak ;;;0
coba tiru guyon ala pocong komplot cowok garing jerome jomblo elite rodo ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
mama pocong serrr brrrr ;;;0
rt alas bagas tidur sini semalem ngantuk sudah malam dingin dengar cerita aku sama hajir tentang genderuwo;;;-1
 ya aku belum folo pocong sep gantuk sudah malam dingin dengar cerita aku sama hajir tentang genderuwo;;;-1
 pocong sandung dong sih jingga malah nebk tinkerbell dingin dengar cerita aku sama hajir tentang genderuwo;;;-1
 gebetan kirim video yang ada boneka aku mau kasih kamu boneka ini dari pocong hilang sampai sih pocong kemba ;;;-1
 pocong komplot cowok garing jerome jomblo elite rodo enas ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 terus ini pocong kalo ngevidioinnya bagaimana ya ;;;0
kenapa pada jadi pocong sih ;;;0
 kayak pocong gen wkwkwk;;;0
 btw itu aladin bang bukan pocong;;;0
 itu aladin bukan pocong din;;;0
 astagfirullah kamu pocong keliling apa tinker l ;;;0
 tapi memang bentuk kayak pocong;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 gua bingung sama lu lihat pocong lu sange ya;;;-1
 pocong ini beda;;;0
 tadi siapa yang bilang pocong kesandungotan cowok garing jerome jomblo elite rodo enas ;;;0
lalu uri tinky buat jadi mirip pocong huhu ini karya ;;;1
rt alhamdulillah pocong lucu ku rodo enas ;;;1
 goblok jadi pocong;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 yang direp yang lorenzo dong jangan jefri sih pocong jahat hhe ;;;-1
plis cara hilang mata pocong gimanasiku rodo enas ;;;-1
 pol ;;;0
 teman aku pocong dong ;;;0
 enggak smsan sama pocong;;;0
 bayang dong pocong kalau lagi gatel bkl gesek ini badan kayak ulat bulu v;;;-1
 lagi pusing cong pikir hidup kok begini saja ya kalo bang pocong ini masih hidup kan ya ;;;-1
rt tolong itu jin jadi pocong wkwkwkwkwk;;;0
rt ira pocong sandung sumpah ;;;1
 baru tau gue pocong suara begitu;;;0
alhamdulillah pocong lucu ku pol ;;;1
tolong itu jin jadi pocong wkwkwkwkwk;;;0
 lagi cari kerja di bagi adminstrasi ini sudah enggak betah di kantor sekarang pocong please di your magic ;;;1
wkwkwkwkkw benar anjir tapi pocong kan setan setan bangsa jin ;;;0
 mungkin kamu butuh jadi makhluk seperti pocong biar bisa begitu idjomatrix pol ;;;1
 kalau yang lu maksu sih pocong gue tonjok ini ;;;0
mvp banget sumpah yang gambar pocong wkwk ;;;1
pocong itu mah wkwkk kakak brengshake ;;;0
 pocong sandung itu batu wkwkwkwk;;;-1
rt kakak banget sama pocong aduh siapa yang gambarrti pocong biar bisa begitu idjomatrix pol ;;;-1
kakak banget sama pocong aduh siapa yang gambar gambarrti pocong biar bisa begitu idjomatrix pol ;;;-1
rt masa dari pocong ke tinker l anjir ini kocak banget deh wkwkwkwkkwkwk ;;;0
masa dari pocong ke tinker l anjir ini kocak banget deh wkwkwkwkkwkwk ;;;0
 robot dan pocong ;;;0
kamu pocong yang suka ngeprank ;;;1
 lihat yang akhir benar pocong kwkwkwkw;;;1
ira pocong sandung sumpah ;;;1
rt ini lebih mirip pocong bisa begitu idjomatrix pol ;;;1
 wkwkwkwkwkwk jadi pocong;;;0
siapa yang gambar pocong wkwwkwk;;;0
watched pocong the origin tadi bakal ada yang dua ya gais ;;;0
pocong ;;;0
 ini lebih mirip pocong bisa begitu idjomatrix pol ;;;1
kayak pocong atauga casper wkwkkwkwkwkwwwkkw ;;;0
kakak itu pocong yang gambar akhir wkwmwkwkkwkw ;;;0
teman gua habis lihat pocong untung gua di kasih unjuk enggak peka jadi gua galiat ;;;0
ngapa pocong woy ;;;0
kenapa jin jadi pocong ;;;0
benar jadi pocong wakakakkakakakaka ;;;1
monangis gambar belum kayak pocong ;;;0
lama kayak pocong ;;;-1
rt orang yang caper di tweet pocong minggu lagi juga sudah bosan ;;;-1
cuci mata banget buka twitter walopun ada pocong kliweran ;;;0
lagi heran ini pocong gentayang lagi ;;;0
 lagi tunggu kapan nih pocong hilang dari twitter;;;-1
pas gambar gue nanti keluar jadi tali pocong perawan ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
masuk dan tonton live pocong p ramal di bigolive ;;;0
 itu selebtwit jam dahulu kala wkkwkwkwkwkkw yang tulis buku pocong bukan pocongtapi kita kan ocong cowok l vmjdo e;;;0
wkwk yakali kreatip banget ngeprank jadi pocong tapi pakai spanduk ;;;0
 rase pocong aku dibuatnye;;;0
rt pocong sambut sukacita anak presiden dibullly stan mbak e nya tiga warga indonesia;;;1
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
 pocong gue takutin lu entar loh ;;;0
rt omg pocong kembali ku kira sudah fix jadi anak instagram pocong bukan pocongtapi kita kan ocong cowok l vmjdo e;;;-1
 kakak banget kak wkwk yang pocong giling apalagi nstagram pocong bukan pocongtapi kita kan ocong cowok l vmjdo e;;;0
 lagi lihat pocong kak yang pocong giling apalagi nstagram pocong bukan pocongtapi kita kan ocong cowok l vmjdo e;;;0
rt wkwkwk ini pocong mangkal mana sih ;;;-1
 malaikat munkar nakir marobukaa army pocong hyunsuk eh junkyu eh mashiho eh yedam ehhhh jeder ;;;1
 satu mansion misi mulai dari besok malam saat huni sedang hura hura kita harus jadi pocong yang bersahaj ;;;0
 pocong tgv cinemas ini setiawangsa wilayah sekutu kuala lumpur ;;;0
nyanyi malam iniada pocong di pohon pisangpisangnya kuning pocong putihaku tahu maksud diri mudiam diam l ;;;-1
 jangan pocong;;;0
 aku doain kamu jadi pocong ini ;;;0
 karena pocong watugajah nyata benar jadi tidak ada cara lain selain iman untuk jadi berani wkwkwk;;;1
 eh ada begitu kak pocong nama yuyuun ;;;0
 terus digangguin pocong;;;0
 iya dia pocong borjuis di alam baka;;;0
 kayak apa begitu ya se eh ada begitu kak pocong nama yuyuun ;;;0
 ya juga ini pocong kan wang nya banyaaa ya hihihi uun ;;;0
memang ya anak kecil yang paling peka lihat begitu habis lihat pocong terus dia bilang di rumah itu pocong nya pind ;;;-1
rt tahi bilang saja saksi palsu mending kalian bawa pocong kalian untuk saksi ;;;-1
masuk dan tonton live pocong p ramal di bigolive keyco wedding ;;;0
 pocong mu wkwkwk;;;0
rt orang yang caper di tweet pocong minggu lagi juga sudah bosan ;;;-1
masuk dan tonton live pocong p ramal di bigolive keyco wedding ;;;0
masuk dan tonton live pocong p ramal di bigolive keyco wedding ;;;0
 pocong kalo balas mention para peri begini nih ;;;0
 pacar pocong;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
lihat pocong ada di amrik jang wonyoung kamu cantik wadaw slebew;;;1
 iya loui benar banget mau ikut cosplay jadi pocong enggak ;;;1
 mana pocong bang gue takut;;;-1
 follow back lah dasar pocong tak kenang budi;;;-1
poconggg balik main twitter saja diomongin bilang lalu lebih reaksi netizen padahal kalo buat ukur foll ;;;0
soal mai kubur aka ktm pocong jadi suka lompat ;;;1
 biar couple sama pocong ;;;0
di bogor mah kalo ada bi jam ramenya kloter kak nya tengah malrm pocong kunti genderewo tuyul limusakeret kul ;;;0
ketika twit rame sama sih pocong yang kembali alam twitter ku coba search akun vincent tapi enggak nemu enggak cuma aku ;;;-1
 astaga ira pocong ;;;-1
pocong pun boleh istighfar kalian bila lagi ;;;0
 ira jadi pocong ;;;0
 tgkla pocong hehehe;;;0
pocong pocong apa yang disenengin sobat misqueen pocong harga iya iya iya ;;;0
jangan rt atau like foto pocong pocong dong enggak suka gue takut ;;;1
 tuyul kalo sudah gede ke remaja jadi pocong;;;0
 akun pocong;;;0
 ya allah hensem rupa pocong ini setelah teliti oba search akun vincent tapi enggak nemu enggak cuma aku ;;;-1
 lagi lihat pocong loncat loncat;;;0
 aku pocong;;;0
apabila pocong baru ingat dosa ;;;-1
rt uniqlo kali kaws kaos diludahin pocong makanya pada rela antri;;;0
 masa pocong nya longo e teliti oba search akun vincent tapi enggak nemu enggak cuma aku ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 pocong saja twitter for iphonegue kapan teliti oba search akun vincent tapi enggak nemu enggak cuma aku ;;;-1
bazir duit tengok pocong tapi lagu ost dia dap teliti oba search akun vincent tapi enggak nemu enggak cuma aku ;;;-1
sinetron suzana mulu yang tayang kali kali sinteron jadi pocong begitu yang pocong mumun dan pocong jefry;;;0
kalo kejar pocong team lari zigzag atau team baca doa ;;;0
 mantap ramal sih pocong ;;;1
ibu boleh cerita ada anak kawan dia tampak pocong kat bangun parking hkl adoi kaknab deh lah kalau training bal ;;;0
 enggak penting bagi pocong tapi penting bagi kunti ;;;1
pocong mau bagi iphone v ;;;0
 pocong ;;;0
 kata pocong kamu gapenting ;;;0
rt tidak pernah memfollow pocong karena tidak ingin ikut setan;;;-1
 kepala ada pocong mini;;;0
 pikir pocong ambil hp bagaimana;;;0
bilang pocong hadeh ;;;0
gara gara pocong balik ke twt teman rl pada balik ke twt juga ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
itu sih pocong benar benar di akherat pakai segala muncul ke muka bumi;;;1
rt taman endog di sumedang plontos tanpa rambut cam itu ki sanak pocong larang komentar ;;;0
asa gue enggak follow pocong tapi kok tadi ecek gue ngefollow ya;;;-1
 enggak mau pocong tepos;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 pocong ini laki ke perempuan;;;0
 memang pocong tau iluminati ;;;0
rt awkarin dan pocong sudah mulai kenal mbak siskaeee;;;0
 ini spa lagi pocong cantik ya allah;;;1
 ih kalo pocong benar boro foto yang ada aku kabur pocong larang komentar ;;;0
rt kalau ada pocong yang ngintipin kamu dari jendela jangan takut ya dia memang sengaja aku suruh buat jaga kamu tidur ;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 sini baku hantam kamu pocong kalo pocong benar boro foto yang ada aku kabur pocong larang komentar ;;;0
 kamu pasti pocong muslim ya enggak mau jadi iluminati;;;0
cinta abang sama eneng bagai pocong ikat erat tanpa ada yang berani lepas ;;;1
thanks om hau atas ilmu tahu ghoib nya ku jadi tau pocong dan kuntilanak ada varian warna;;;0
lu kira google bisa jawab siapa milik akun twitter pocong g tiga enggak anjing makanya orang nanyanya ada ;;;-1
 tanya basi nih mas pocong;;;-1
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 memang pocong ini benar sape sih ;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
rt apakah pocong yang belakang jadi topik populer di twitter adalah gang pocong di kalimongso ;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 weh cikti pun ajak aku tengok pocong hahahaha;;;0
 jangan bikin hani sewot mas pocong cepat minta maav atau nanti;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 ya enggak apaapa di taksir pocong ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
tonton tranding vid yang prank pocong malah ciduk polisi ngalak banget bacain komennya makin kakak;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 lagi tapa biar bisa nangkep pocong;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
turun tangga sambil pakai mukenah terus tiba bunda teriak lah ya aku juga ikut terus bunda bilang bikin ke ;;;-1
sih mbak inituh pakai baju merah nyala kayak mata pocong mumun terus dia pakai kupluk dengan warna nada duh gemas deh;;;-1
 pocong ju sok hahaha;;;-1
 pocong enggak tau gue rame benar hari ini;;;1
ribut pucang pocong selebtwit selebtwat doi mah tambah kayak lah lu ;;;0
rt wkwkwk ini pocong mangkal mana sih ;;;-1
what hehehhe sih pocong yang bilang loh bukan saya ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 enggak mau malas en nangkep pocong yang p nya ;;;-1
 kok pocong bisa hidup dan main twitter ;;;-1
 ya kalo pocong datang lu pada kabur laahh;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
pocong mah tetap selebtwit lejend malah selebtwit baru kalah sama dia apelo apelo balik pertama di sama gua masih bayang anak;;;-1
 cong bikin bisnis ternak pocong yuk;;;-1
 pocong takut sama segitiga ya efek apa cong ;;;-1
 auto kakak lihat pocong jam dulu banget ah sama dia apelo apelo balik pertama di sama gua masih bayang anak;;;0
aku search medan lastik asal keluar ritual panggil pocong ini adu aku deh agak fizik ada main bende halus ini ;;;0
tahu saya pocong itu dulu anak twitter yang hijrah ke ig karena lebih rame kemarin pulkam ke twitter buat sapa follow ;;;0
pocong siapa sih gue tau saleptuit jadul itu sih vicent yang muka kayak bola basket yang tuit cewek itu si ;;;0
widih sudah ada langsung berita bang yang aktif lagi di twitter link ;;;0
aku punya buku analogi cinta sendiri sama pocong juga pocong astaga time flies sok fast ;;;-1
seram kalo pocong jefri yang balik ;;;-1
 pocong sudah ada centang nya sorry ya;;;0
azab pocong nyarimasalah sama polisi ;;;-1
 lah anjir gue bngetkmren kemarin gue baca thread kira kelapa ternyatakepala pocong kelar baca ;;;0
 aku mah masih enggak berani dipelototin pocong mumun ;;;1
 banget ngapa tuh pocong enggak pakai gamis saja biar lucu dikit;;;1
rt netizen facebook sama segitiga saja takut netizen twitter ada pocong muncul sambut dengan sukacita ;;;1
keponakan datang ke rumah minta kertas buat gambar pas lihat hasil gambar pocong mah ;;;0
cinta abang sama eneng bagai pocong ikat erat tanpa ada yang berani lepas ;;;1
 pocong cuma butir tanah kubur banding dua orang ini jleb;;;-1
 anak baru enggak tahu pocong bang;;;0
 jadi tau nih sekarang siapa pocong wkwk;;;0
 pocong balik kayak nya sudah lulus dari siksa malaikat;;;1
 ;;;0
sudah follow pocong dari twitter doi masih aktif terus kemarin doi ngetweet enggak engah kalo tweet itutuh comebacknya gue ;;;0
rt yang enggak pilih angka joanne yang pilihin terima saja tiap interaksi harus pakai bahasa enggak contoh hagaigi kegenagalagan;;;0
 dear zarry analogi cinta sendiri poconggg juga pocong good ol days ;;;1
rt topik cinta beda agama is sok last year try cinta beda alam kamu manusia dia pocong ;;;1
wahai mutual ku pada masih hidup kan belum jadi pocong ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
anjir lihat pocong jadi pengin sushi;;;0
rt orang yang caper di tweet pocong minggu lagi juga sudah bosan ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 semua pocong sama saja ;;;0
 jangan lupa follow pocong ;;;0
rt telat cong sudah mati saja manggil ustaz coba pas hidup sih mati aman gakkan jadi pocong alagan;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
bukan pocong kucing ya tementemen tapi masih gerak sampai loncat begitu kucing;;;0
yang enggak pilih angka joanne yang pilihin terima saja tiap interaksi harus pakai bahasa enggak contoh hagaigi gen ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 kamu bikin kakak deh enggak asli bukan pocong dia nya tinggal kan nah kayak masih gerak begitu sampai loncat ;;;1
 pocong kayak kamu mes amat jadi enggak sia sia mati nya;;;-1
 pocong adalah netijen mereka netijen aku netijen kita netijen hail hydraaa ;;;0
rt first time aku jumpa pocong kelate ini enggak contoh hagaigi gen ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 bukan hanya jahat jalan yang tim jaguar bisa tangkap bahkan hal hal mistis seperti hantu pocong pocong punya ;;;-1
 kakak iya lah kira pocong terbang suutangkap bahkan hal hal mistis seperti hantu pocong pocong punya ;;;1
 itu begimana cerita sudah mati tapi masih loncat loncat pocong kucing kah ;;;-1
 kamu mirip pocong;;;1
first time aku jumpa pocong kelate ini hal hal mistis seperti hantu pocong pocong punya ;;;1
 ha jadi pocong ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 mentang ada pocong bikin anak sembarang mau iphone ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 kalo pocong lihat ini pasti dia akan kata sudah ambil saja lahan gua di twitter gua sudah kayak enggak butuh lagi jadi selebtwitt ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 kok cakep jadi pocong jangan divuka lagi ya maz;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
sama jom tengok wayang a jom jom tengok pocong sama oh takpelah jom pergi tengok perabot nak ;;;-1
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 ha sih pocong eta banding sama ini untung enggak zarry ya serius ini urat malu mana ya kalo ada tau ;;;-1
 jadi pocong benar tau rasa lu;;;1
 wkwkwkwkw kalah sama pocong;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
cemana acc pocong ini boleh verified sia serius ini urat malu mana ya kalo ada tau ;;;-1
 aku baru baca beberapa reply seleb yang aku tau iya biasa saja eh yang lain yang seleb aku enggak tau pada ;;;-1
rt tidak pernah memfollow pocong karena tidak ingin ikut setan;;;-1
 yaela pocong mulu yang sebut dari kemarin nih mentang mentang kambek enggak kangen bang radit alit sama bena oceh tiap malam ;;;1
entah apa sejak muncul pocong ke tl ini saya jadi malas buka twitter lagi meski sekarang lagi buka twitter ;;;-1
 untung enggak dia rekam guys pocong guys ku tau iya biasa saja eh yang lain yang seleb aku enggak tau pada ;;;-1
 kakak kan kira pocong bege;;;0
 selebtwit apa enggak ada yang gua kenal masih tau pocong gua ngahahah;;;0
masuk dan tonton live pocong p ramal di bigolive keyco wedding ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
rt orang yang caper di tweet pocong minggu lagi juga sudah bosan ;;;-1
 pojok stasiun tugu yogya banyak artis pocong dadak dan kalau mau photo bareng asih dui ;;;0
 fenomena pocong n awkarin balik ke twitter dahsyat itu kah sampai bisa bawa orang balik ke twitter lagi ;;;1
dari dulu enggak kenal akun pocong kenal anonim n da dan kalau mau photo bareng asih dui ;;;0
 pocong mumun keleus sok sok white walkers;;;-1
pagi setelah subuh bu rt lewat situ dan kaget treak sampai rumah kemudian cek sama apa rt tawan deh cuma p ;;;-1
dulu pas bulan ramadhan malam bukan teraweh gue malah asih ide ke teman buat iseng buat pocong dari peleph tapi ;;;0
aku lebih pilih ketemu pocong kuntilanak atau sundel bolong daripada harus ketemu sama sodara tetangga atau orang a ;;;0
 ha gakenal salebtwt gue malah cari pocong benar tampak pocong maksud;;;1
ini baru selebtwit pocong who ;;;0
 kayak pocong;;;0
 pernah foto sama pocong tapi kok dia enggak lompat lompat begitu sih kenapa tuh cong teman lu ;;;-1
 omonaaaa enggak lah anjer aku bukan kaesang atau pocongus ketemu sama sodara tetangga atau orang a ;;;0
okay cerita pocong ada kelakar and sedihhhh esang atau pocongus ketemu sama sodara tetangga atau orang a ;;;1
 maaf tapi gue lebih kenal pocong daripada yang di foto;;;0
setelah pocong comeback muncul setan setan receh memang sudah enggak ada harga diri setan di indonesia ;;;-1
 pocong ternak mobil atau ternak keranda ;;;0
 kapan nih kolab netflix buat film tentang pocong masa di netflix deh release jinn a ;;;0
 ada apa di video ini pocong ;;;0
sebel banget army bomb nya kayak pocong;;;0
 pocong kalo ngupil bagaimana ya ;;;0
 hantu itu jin yang menyerupai suatu misal kuntilanak genderuwo pocong kalau arwah itu kayak manusia ya ;;;0
 lagi komen tweet nya pocong;;;0
tumben banyak notif ada twit besar sekal pengaruh pocong di dunia pertwiteran negara berflowerz kayak manusia ya ;;;1
 sorry gua kalo malam jadi pocong;;;0
 hyung pocong katax kombek ya;;;0
 dear pocong dari tweet atas sae au ;;;0
rt untung cuma pocong yang kambek suzanna belum bangkit dari dalam kubur kan ;;;-1
rt wkwkwk ini pocong mangkal mana sih ;;;-1
 gara foto habis bukber kayak misal bayujo lulu ristyrianda begitu di sebar terus capt nya begini ini selebtwe ;;;0
 doi enggak tau saja pocong sampai buat segment di acara the hits yang nama kepo alias ketemu pocong dar ;;;-1
 itu yang sedang di tanya pocong wae seram apalagi premane pocong etemu pocong dar ;;;-1
tak boleh b lah di haha ini pocong ini siapa di dancer ke ;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 tahun main twitter satu foto itu enggak ada yang gue kenal tau cuma pocong sama gofar dari dulu kali ;;;-1
 apakah jiwa iri pocong ;;;-1
 pocong itu sapa sih enggak kenal gue sumpah ;;;1
aku mau nge tweet tapi enggak mau etik mau omong saja biar kayak pocong;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 pocong itu tengok teaser dulu pon alahai macam xsedappp ponn;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 oh gitubtw mutualan yuk wahai istri pocong;;;-1
 pocong sudah ada dari jam gue sd monyet gilaluya wkwk;;;0
 oooohh vid yang hantu pocong itu ke r jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
tidur siang mimpi kejar pocong bangun bangun nyata gerah enggak pakai kipas atau ac nightmare a di sama gua masih bayang anak;;;-1
 scroll twitter ada rame rame apa nih nih baru selebtwit pocong who ada satu orang yang ikut komentar sambil ;;;0
for your fyi buat kalian anak twitter dulu ada miduns dan androkristian yang sudah jadi selebtwit dari saja ;;;0
 mana pocong anak ketangkep ini ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 kata pada senior di twitter tapi pocong saja enggak tau hahaha;;;0
 jadi arief iru pocong ;;;0
 pertama kali bikin twitter follownya pocong sama radityadika ini kagak kenal semua saya bagaimana dong ;;;0
 memang tuh pocong sebal banget wkkwkw;;;-1
 ajak ping biar enggak ribut mulu sama pocong;;;0
 paling kesel begitu kalo ada twett dia komen tapi akun di lock dasar ghaib lebih pocong t ;;;-1
rt itu game seru banget teman gue yang enggak punya asma sampai asma gara gara kejar pocong asma saya kambuh hhhh hhhhh be;;;-1
 gue tau pocong doang ;;;-1
lagi colong tali pocong biar sugih ;;;0
 aduhhhh sekarang pocong bangkit dari kubur untuk temu gemar setia ;;;1
 mata item kayak pocong yang di critain ;;;0
 premane pocong sopo pak;;;0
 ya allah lu enggak kenal pocong ;;;0
di dunia pocong ada pocong preman enggak ;;;0
 nih pocong ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
rt santai bang pada saat lu bakal jadi pocong kok;;;1
 lagi mau coba jadi pocong juga;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 minta di tempeleng memang itu sih pocong;;;0
 gakenal semua pocong pun yang sudah ku follow aku enggak tau siapa hahahahknp dulu aku follow aku juga lupa;;;0
 ngitung berapa jarak yang telah tempuh pocong untuk keluyur dan rata lompat per meter;;;0
 nih rin sih pocong songong ;;;0
pocong kambek riuh minta ampuuuun ;;;-1
 pocong atau raditya ka fenomenal waktu itu karena mereka juga punya karya yang bisa jual kal ;;;0
 pocong kan setan wkwkwkwkwkwk;;;-1
 mau ngetrack yang tadi pocong pocong ya kak cantik ;;;1
 gue tau pocong doang;;;-1
rt kunti itu kapel pocong ;;;0
 siapa mereka saya tau sih pocong;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
why i punya mom kalo lihat tempat makan rame selalu bilang ada pocong nya ;;;0
 entar juga anda jadi pocong;;;0
dia peluk sama usap muka gua dan memang di depan rumah gua di pager kampus itu ada pocong ;;;1
 masa sama ketua geng takut kita kan ikut dia geng pocong ya yang bisa jual kal ;;;-1
 sih sudah jadi slebtwit nah loh bedeketan deh sama pocong yeh siapa tau loh jadi seleb juga ;;;0
rt iya pocong enggak ada orang mereka adek kelas pocong wqwq;;;0
besok kalo anak gue tanya sama dulu mama paling takut sama setan apa sama semenjak muncul lagi mama gatak ;;;-1
 itu yang foto juga bakal jadi pocong masa depan kok bukan cuma pocong vampir kuntilanak genderuwo setan semua;;;-1
jadi sia sia gua ke warung cuma buat di kejar kejar pocong doang hhh gua balik lagi dan gua teriak pocong lagi em ;;;-1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 ada pocong jual mangga;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 di kejar pocong pas mau ke toko nenek ini sih alam yang paling gua ingat gua pas umur tahun jam ;;;0
 memang pocong bisa omong ;;;0
rt lagi rame balik di twitter jadi ingat ini salah satu tampil publik pertama di sama gua masih bayang anak;;;-1
 maaf tapi pocong sudah gua ikut dari sampai sampai sekarang gua kuliah ;;;0
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 siapa ya enggak tau asli aku wkwk kaya pernah deh muncul di tv rame dia tuh dulu soanya ;;;1
enak ya bang arip muhamat alyas bang arief alyas pocong enggak pernah kesuspend acc nya;;;1
 ih resep a mane mana deui sok aya pocong warna pink ;;;-1
poconggg who poconggg who disamperin pocong benar ngacir lu nder;;;1
rt pocong sudah balik ke twitterawkarin sudah balik ke twitterkamu kapan balik sama akuhash ramashok ;;;0
 cuman tau ka itu karena drama eue xiximon maaf aku tau pocong;;;-1
